main_sound,level,hanja,meaning
걸,2급,桀,하(夏)왕이름
걸,2급,杰,뛰어날
걸,특급,朅,떠날
검,4급Ⅱ,檢,검사할
검,4급,儉,검소할
검,3급Ⅱ,劍,칼
검,특급Ⅱ,鈐,자물쇠
검,특급Ⅱ,瞼,눈시울
검,특급Ⅱ,黔,검을
검,특급Ⅱ,劒,칼
겁,1급,怯,겁낼
겁,1급,劫,위협할
겁,특급Ⅱ,迲,자래單位
겁,특급,跲,엎드러질
게,2급,憩,쉴
게,2급,揭,높이들擧
게,1급,偈,불시(佛詩)
게,특급,愒,쉴
격,5급Ⅱ,格,격식
격,4급,擊,칠打
격,4급,激,격할
격,3급Ⅱ,隔,사이뜰
격,1급,檄,격문(檄文)
격,1급,膈,가슴
격,1급,覡,박수男巫
격,특급,綌,굵은갈포
격,특급,繳,주살
격,특급,鵙,왜가리
격,특급,鴃,왜가리
견,5급Ⅱ,見,볼
견,4급,堅,굳을
견,4급,犬,개
견,3급,遣,보낼
견,3급,肩,어깨
견,3급,絹,비단
견,3급,牽,이끌
견,2급,甄,질그릇
견,1급,繭,고치
견,1급,譴,꾸짖을
견,1급,鵑,두견새
견,특급,豣,돼지
견,특급,睊,흘겨볼
견,특급,獧,뛸
견,특급,岍,산이름
견,특급,蠲,덜
견,특급,繾,곡진할
견,특급,畎,밭고랑
견,특급,狷,고집스러울
결,5급Ⅱ,結,맺을
결,5급Ⅱ,決,결단할
결,4급Ⅱ,潔,깨끗할
결,4급Ⅱ,缺,이지러질
결,3급Ⅱ,訣,이별할
결,특급Ⅱ,抉,도려낼
결,특급,袺,옷섶잡을
결,특급,闋,마칠
결,특급,觼,쇠고리
겸,3급Ⅱ,兼,겸할
겸,3급Ⅱ,謙,겸손할
겸,특급Ⅱ,鎌,낫
겸,특급Ⅱ,慊,앙심먹을
겸,특급Ⅱ,鉗,집게
겸,특급Ⅱ,箝,재갈
겸,특급,歉,흉년들
겸,특급,蒹,갈대
경,6급,京,서울
경,5급Ⅱ,敬,공경
경,5급,輕,가벼울
경,5급,競,다툴
경,5급,景,볕
경,4급Ⅱ,境,지경
경,4급Ⅱ,經,지날
경,4급Ⅱ,警,깨우칠
경,4급Ⅱ,慶,경사
경,4급,驚,놀랄
경,4급,更,고칠
경,4급,傾,기울
경,4급,鏡,거울
경,3급Ⅱ,頃,이랑
경,3급Ⅱ,徑,지름길
경,3급Ⅱ,硬,굳을
경,3급Ⅱ,耕,밭갈犁田
경,3급,卿,벼슬
경,3급,庚,별
경,3급,竟,마침내
경,2급,璟,옥빛
경,2급,儆,경계할
경,2급,瓊,구슬
경,2급,炅,빛날
경,1급,勁,굳셀
경,1급,鯨,고래
경,1급,憬,깨달을
경,1급,頸,목
경,1급,莖,줄기
경,1급,脛,정강이
경,1급,磬,경쇠
경,1급,痙,경련(痙攣)
경,1급,梗,줄기
경,특급Ⅱ,倞,굳셀
경,특급Ⅱ,勍,굳셀
경,특급Ⅱ,涇,물이름
경,특급Ⅱ,逕,길
경,특급Ⅱ,耿,빛날
